"gene_id","gene_symbol","entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000131462.9","TUBG1","7283",5946.40516346624,-0.252371852220682,0.050484643145021,-5.09223658520059,3.53864155463043e-07,3.21366046609565e-06
"ENSG00000075399.14","VPS9D1","9605",887.568626219185,-0.416865874825638,0.0858981530817153,-5.09184997629554,3.54586628842911e-07,3.21852684264466e-06
"ENSG00000141551.15","CSNK1D","1453",8502.8216639863,0.184317272242637,0.0365855302672359,5.09069065184483,3.56761656457584e-07,3.23656576920962e-06
"ENSG00000269959.1","SPACA6-AS1","102238594",98.6740940175145,1.20253416840554,0.264407096517166,5.09005496132874,3.57959746342195e-07,3.24572754228049e-06
"ENSG00000224063.6",NA,NA,83.376216391664,-1.24552298244887,0.274596850093076,-5.08797968015299,3.61898135036234e-07,3.27971373454277e-06
"ENSG00000137547.9","MRPL15","29088",2523.89520780185,-0.25847912893816,0.0519337680003058,-5.08684250687031,3.64073921812555e-07,3.29769897877065e-06
"ENSG00000204590.13","GNL1","2794",5167.82197656444,0.205698365031026,0.0409829650265352,5.08504634464847,3.67536313144851e-07,3.32731299553601e-06
"ENSG00000112739.17","PRP4K","8899",6500.42568670281,0.203998058235647,0.0406151382971975,5.0836228311866,3.70302916347698e-07,3.35060025988059e-06
"ENSG00000166145.15","SPINT1","6692",4303.06173704739,-0.248868679112745,0.0497545440705822,-5.08274840612311,3.72012317833457e-07,3.36430227234179e-06
"ENSG00000174775.18","HRAS","3265",1552.24709313549,-0.39298704190163,0.0808362468956348,-5.08149083641129,3.74484081614538e-07,3.38488075027481e-06
"ENSG00000274523.5","RCC1L","81554",5050.97348321513,-0.225628772651122,0.0451118924958907,-5.08007727818818,3.77281363081395e-07,3.40837841157765e-06
"ENSG00000161547.17","SRSF2","6427",16149.8949722761,-0.178986733714887,0.035611411688559,-5.07702568622382,3.83389059329562e-07,3.46174226031289e-06
"ENSG00000167136.7","ENDOG","2021",1099.80449348711,-0.395526279021066,0.0814700626305697,-5.07689393486491,3.8365489418347e-07,3.46232982997809e-06
"ENSG00000159228.13","CBR1","873",2179.52371489898,-0.2968956334909,0.0601344235812478,-5.07530406491287,3.86876833682574e-07,3.48958047787117e-06
"ENSG00000170545.17","SMAGP","57228",1775.22416716144,0.337163679068325,0.0687857773294913,5.07221028658712,3.93221510957217e-07,3.5449546147246e-06
"ENSG00000290032.1",NA,NA,1066.55698014217,-0.406509174895918,0.0839974193215203,-5.07076667164024,3.96216300628842e-07,3.56822262174674e-06
"ENSG00000137409.21","MTCH1","23787",16584.5798295875,-0.171182113018034,0.0340697455939439,-5.07084314451149,3.96057106553556e-07,3.56822262174674e-06
"ENSG00000162714.13","ZNF496","84838",2148.69421160804,0.339080068142221,0.0692008739887942,5.06987822998363,3.98070306885367e-07,3.58304828420931e-06
"ENSG00000163348.4","PYGO2","90780",3320.55977453735,-0.252863932078692,0.0509298484773721,-5.0679770732572,4.02065818600318e-07,3.61712420844084e-06
"ENSG00000106803.10","SEC61B","10952",2940.19421625676,-0.25987505376885,0.0524029055332746,-5.06729482884444,4.03509050984073e-07,3.62821537709662e-06
"ENSG00000128165.9","ADM2","79924",290.351234272244,0.740735411265003,0.159782889584808,5.06711573857512,4.03888729362315e-07,3.62973685595752e-06
"ENSG00000215256.6","DHRS4-AS1","55449",1015.91973500659,0.379758891423532,0.0781335291824442,5.0667865746761,4.04587468937368e-07,3.63412265067388e-06
"ENSG00000126773.13","PCNX4","64430",2753.52900088213,0.265962241425184,0.0537261655869787,5.0633517454002,4.1194876306912e-07,3.69831773445603e-06
"ENSG00000123728.10","RAP2C","57826",6969.32514007245,-0.203848407501981,0.0407595157993123,-5.0610267319398,4.17004737685478e-07,3.74176051307167e-06
"ENSG00000175581.14","MRPL48","51642",3156.05282607771,-0.302630216059344,0.0615442950758278,-5.06088070998961,4.17324267280413e-07,3.74268035024337e-06
"ENSG00000254153.2","LINC02950","123466212",28.2274640300422,-2.22985134261223,0.498828678180014,-5.05951156730483,4.20331780044096e-07,3.76769328411668e-06
"ENSG00000177565.19","TBL1XR1","79718",4163.88279684343,-0.2769965519499,0.0561064860557185,-5.05884280881526,4.21808392329093e-07,3.77896495278314e-06
"ENSG00000186205.14","MTARC1","64757",834.257093193572,-0.467366640119125,0.0978418107086586,-5.05645579795082,4.27119809578651e-07,3.82456294703708e-06
"ENSG00000137936.18","BCAR3","8412",994.921368474448,-0.4654082021301,0.0974263673944966,-5.05620374373535,4.27684415554346e-07,3.82564597025428e-06
"ENSG00000289877.1",NA,NA,121.468817687688,-0.99431301708067,0.218935079668859,-5.05625253224639,4.27575072243682e-07,3.82564597025428e-06
"ENSG00000183734.5","ASCL2","430",640.017533398976,-0.532479649801092,0.112756400932488,-5.04981302403085,4.42242711235944e-07,3.95381949091503e-06
"ENSG00000135245.10","HILPDA","29923",2827.90816357071,0.266778328976294,0.0540826613958353,5.04545657319201,4.52439651797628e-07,4.04288820461238e-06
"ENSG00000138768.15","USO1","8615",3394.96445528868,0.28653976103528,0.0582906669107349,5.04446436740662,4.54793572652229e-07,4.06181768718816e-06
